id,name
842,NUGNES Paola
858,PEPE Pasquale
871,PIRRO Elisa
861,PEROSINO Marco
867,PICHETTO FRATIN Gilberto
873,PISANI Pietro
856,PELLEGRINI Emanuele
877,PRESUTTO Vincenzo
859,PERGREFFI Simona
874,PITTELLA Giovanni Saverio Furio
862,PESCO Daniele
879,PUGLIA Sergio
863,PETROCELLI Vito Rosario
891,ROJC Tatjana
884,RENZI Matteo
869,PINOTTI Roberta
883,RAUTI Isabella
885,RICCARDI Alessandra
872,PISANI Giuseppe
900,RUFA Gianfranco
882,RAMPI Roberto
894,ROMANO Iunio Valerio
907,SAPONARA Maria Gabriella
899,RUBBIA Carlo
893,ROMANI Paolo
912,SCIASCIA Salvatore
897,ROSSI Mariarosaria
918,SOLINAS Christian
920,STANCANELLI Raffaele
902,RUSSO Loredana
904,SALVINI Matteo
905,SANTANGELO Vincenzo
916,SILERI Pierpaolo
919,STABILE Laura
936,UNTERBERGER Juliane
941,VALLARDI Gianpaolo
922,STEFANO Dario
925,TARICCO Giacomino
927,TESEI Donatella
950,ZULIANI Cristiano
975,MASTRISCIANO Mariassunta
961,SANFA Giovanni
976,MAUTONE Raffaele
965,TOCCALINI Luca
979,RUOTOLO Sandro
935,TURCO Mario
946,VITALI Luigi
949,ZANDA Luigi
939,VACCARO Sergio
940,VALENTE Valeria
960,MICHELI Matteo
957,LOSS Martina
959,MANTOVANI Lucrezia Maria Benedetta
952,AVOSSA Eva
963,SNIDER Silvana
966,ALESSANDRINI Valeria
972,MAGONI Lara
962,SANI Luca
967,CALANDRINI Nicola
971,LUNESU Michelina
15,APRILE Nadia
17,ASCANI Anna
35,BELLA Marco
36,BELLACHIOMA Giuseppe Ercole
34,BAZZARO Alex
16,ARESTA Giovanni Luca
28,BARONI Massimo Enrico
47,BERSANI Pier Luigi
57,BOCCIA Francesco
76,BRUNO Raffaele
119,CATTANEO Alessandro
123,CECCANTI Stefano
129,CHIAZZESE Giuseppe
143,COMENCINI Vito
145,CONTE Federico
165,D'ETTORE Felice Maurizio
184,DE MARIA Andrea
185,DE MARTINI Guido
189,DEIANA Paola
207,DI STASIO Iolanda
212,DONZELLI Giovanni
213,DORI Devis
217,EPIFANI Ettore Guglielmo
227,FATUZZO Carlo
232,FERRARI Roberto Paolo
238,FIDANZA Carlo
252,FRACCARO Riccardo
266,GAGNARLI Chiara
270,GALLINELLA Filippo
41,BENEDETTI Silvia
303,GRIPPA Carmela
311,INVERNIZZI Cristian
316,LA MARCA Francesca
321,LATTANZIO Paolo
322,LAZZARINI Arianna
336,LORENZIN Beatrice
342,LUCASELLI Ylenja
350,MAGLIONE Pasquale
354,MANCINI Claudio
373,MAURI Matteo
385,MINNITI Marco
386,MISITI Carmelo Massimo
388,MOLLICONE Federico
391,MOR Mattia
21,BAGNASCO Roberto
414,NOBILI Luciano
431,PALLINI Maria
453,PETTARIN Guido Germano
455,PEZZOPANE Stefania
482,RAVETTO Laura
490,RIZZONE Marco
492,ROMANO Andrea
496,ROSSELLO Cristina
504,ROTTA Alessia
506,RUGGIERI Andrea
509,RUSSO Giovanni
532,SEGNANA Stefania
541,SILLI Giorgio
563,TABACCI Bruno
565,TARTAGLIONE Annaelsa
569,TERZI Claudia Maria
576,TOMBOLATO Giovanni Battista
584,TRIPIEDI Davide
598,VALLOTTO Sergio
630,ZUCCONI Riccardo
649,BARBONI Antonio
40,BENDINELLI Davide
22,BALDELLI Simone
691,CASTIELLO Francesco
695,CENTINAIO Gian Marco
700,CIRIANI Luca
712,CUCCA Giuseppe Luigi Salvatore
727,DESSI' Emanuele
737,ERRANI Vasco
742,FATTORI Elena
744,FAZZONE Claudio
752,FERRO Massimo
754,FLORIS Emilio
760,GARAVINI Laura
765,GHEDINI Niccolo'
780,IWOBI Tony Chike
781,L'ABBATE Patty
787,LANNUTTI Elio
797,LUPO Giulia
802,MALLEGNI Massimo
814,MARSILIO Marco
819,Mautone Raffaele
821,MESSINA Alfredo
831,MONTEVECCHI Michela
834,MORRA Nicola
843,ORTIS Fabrizio
848,PAPATHEU Urania Giulia Rosina
853,PATRIARCA Edoardo
860,PERILLI Gianluca
865,PIANO Renzo
895,ROMEO Massimiliano
901,RUSPANDINI Massimo
909,SBRANA Rosellina
911,SCHIFANI Renato Giuseppe
921,STEFANI Erika
924,SUDANO Valeria
926,TAVERNA Paola
937,URRARO Francesco
948,ZAFFINI Francesco
977,PAPAEVANGELIU Kristalia Rachele
30,BASINI Giuseppe
58,BOLDI Rossana
69,BORGHI Enrico
67,BORGHESE Mario Alejandro
68,BORGHI Claudio
72,BRAMBILLA Michela Vittoria
